Player Name,Row Labels,Count of Season,GP,G,A,P,plusMinus,PIM,HIT,HTT,SHT,SB,MP,PPG,PPA,PPP,PPS,PPM,PKG,PKA,PKP,PKS,PKM,GWG,GTG,FOT,ENG,HT,PSG,PSA,FW,FL,FD,FOWQ,,
Iam Essellemm,4,47,19,16,35,7,13,5,35,56,157,46,108,9,1023,1,3,4,16,107,0,0,0,1,40,3,1,85,0,0,0,0,0,0,0,0
Jasper Clayton,9,110,19,49,68,20,68,0,151,164,223,2,3,164,2836,11,8,19,111,288,0,0,0,5,337,2,2,0,0,0,0,0,0,1,0,73
Jax Duggan,9,116,19,38,57,23,30,0,149,45,201,13,26,137,2377.25,2,3,5,5,60.5,2,0,2,0,157.7166667,7,0,0,0,0,0,0,0,1,1,40
Jon Toner,14,128,19,49,68,-9,76,0,211,88,241,40,80,208,2887.116667,4,12,16,59,231.3666667,0,1,1,1,180.0833333,5,1,1,0,0,0,0,0,0,0,1
Maurizio Arrivabene,7,95,19,26,45,-2,14,0,24,97,210,50,155,11,1559,3,3,6,36,82,0,0,0,1,17,3,1,91,0,0,0,0,0,0,0,24
Michael Boychuk,11,131,19,68,87,23,50,0,143,175,137,1,2,183,3166,6,9,15,67,277,0,0,0,0,280,3,1,2,0,0,0,0,0,0,0,18
Nolan Sawchuk,7,64,19,26,45,-2,6,0,47,74,196,31,86,29,1337.95,0,1,1,17,70.96666667,1,0,1,2,91.9,1,0,725,0,0,0,0,0,0,0,16
Ryan Shepard,5,67,19,36,55,20,6,,83,,206,,,30,1439.633333,1,2,3,,59.75,0,0,0,,63.93333333,3,,1234,,,,,0,0,0,0
Zallerras Szlerchek,8,71,19,35,54,-6,56,10,190,161,226,0,0,25,1665,2,7,9,24,146,0,0,0,4,194,1,1,1352,0,1,0,0,1,0,0,16
Adam Falk,7,61,18,23,41,-9,22,10,63,113,224,0,0,15,1474,8,10,18,44,164,0,2,2,8,160,3,0,122,1,0,0,0,0,0,0,1
Alexander Roach,4,80,18,28,46,23,22,,124,,164,,,61,1352.85,0,0,0,,1.85,0,0,0,,26.45,1,,648,,,,,0,0,0,0
Alexander Wachter,5,41,18,13,31,6,10,,44,,120,,,55,880,1,2,3,,51.95,0,0,0,,1.716666667,4,,11,,,,,0,0,0,0
Augustus Wang,8,129,18,53,71,62,17,0,130,0,393,0,0,208,2647.366667,1,4,5,0,130.4666667,0,0,0,0,69.71666667,5,0,0,0,0,0,0,0,0,0,1
Aviad Ratzon,5,46,18,8,26,-13,46,0,118,65,114,0,0,2,989,7,4,11,28,141,0,0,0,0,30,3,3,428,0,0,0,0,0,0,,10
Cassius Darrow,11,130,18,50,68,-3,30,0,98,89,234,26,66,237,2510.3,10,7,17,29,180.6333333,0,0,0,2,150.3666667,5,0,0,0,0,0,0,0,0,0,0
David Kastrba,12,100,18,32,50,-16,64,0,234,94,166,40,86,37,1874.433333,2,1,3,4,48.38333333,0,0,0,0,125.9333333,2,0,226,0,0,0,0,0,0,0,0
Dick Skillstedt,7,75,18,26,44,9,48,10,118,60,206,44,125,11,1271,2,7,9,39,177,0,0,0,2,72,1,2,90,0,0,0,0,1,0,0,0
FR Finn-Rhys,9,117,18,38,56,42,58,0,159,34,241,9,13,219,2441.75,1,5,6,6,107.5166667,0,0,0,0,124.2166667,4,0,0,0,0,0,0,0,0,,56
Jack Durden,8,66,18,30,48,-5,12,0,72,157,201,21,40,17,1520,2,5,7,36,147,0,1,1,2,140,1,3,1335,0,0,0,0,0,0,0,0
Jordan Von Matt,12,108,18,42,60,-4,27,0,69,86,142,45,89,139,2144.75,7,7,14,49,180.65,0,0,0,0,149.4666667,3,2,0,0,0,0,0,0,0,0,0
Nick Brain,6,57,18,20,38,-10,10,0,84,40,174,29,62,55,1193.5,4,8,12,17,117.4833333,0,0,0,2,65.45,0,1,806,0,0,0,0,0,,,
Nicolas Winter,7,66,18,29,47,-9,44,20,97,132,216,31,72,18,1366,6,7,13,52,202,0,0,0,1,126,2,3,1222,0,0,0,0,0,0,0,0
Sami Owens,11,88,18,32,50,15,32,0,57,72,144,38,75,113,1868,11,4,15,53,130,1,3,4,3,174,4,0,0,0,0,0,0,0,0,0,0
Steve Harrington,4,80,18,40,58,14,16,,52,,230,,,24,1706.166667,1,0,1,,37.61666667,0,0,0,,6,7,,14,,,,,0,0,0,3
Taylor McDavid,4,58,18,35,53,6,100,40,167,147,179,0,0,31,1360,5,12,17,55,199,0,1,1,3,132,4,2,1109,0,0,0,0,3,1,0,37
Alex Reay,4,41,17,18,35,0,100,,67,,143,,,18,,,,,,,,,,,,,,,,,,,,0,0,29
Blake Sherrill,7,94,17,30,47,33,14,0,39,63,153,0,0,7,1142,4,5,9,23,172,0,0,0,0,38,3,0,109,0,0,0,0,0,1,1,0
Brennan Kennedy,7,59,17,12,29,0,10,0,56,63,144,28,65,11,930,1,0,1,11,58,0,0,0,0,43,1,0,82,0,1,0,0,0,0,0,0
Carter O'Callahan,6,56,17,23,40,1,72,10,206,170,191,0,0,16,1416,4,7,11,43,220,1,1,2,5,167,5,2,1824,0,1,0,0,1,0,0,14
Emils Vilmenietis,4,50,17,20,37,7,36,0,121,59,160,0,0,8,1102,2,9,11,39,185,0,0,0,0,36,2,0,89,1,0,0,0,0,0,0,0
Jaxson Reynolds,6,61,17,23,40,1,4,0,27,57,186,0,0,8,1179,3,6,9,21,123,0,0,0,0,1,2,0,81,0,0,0,0,0,,,
Jhonas Skarsgaard,8,62,17,14,31,9,58,0,174,70,152,0,0,33,1278,1,3,4,20,139,1,0,1,6,134,2,0,57,1,0,0,0,0,0,,14
Jon Ross,9,105,17,57,74,31,48,10,136,136,173,39,73,130,2372,5,10,15,67,209,0,0,0,0,233,3,0,608,0,0,0,0,0,,,
Reginald Rove,5,40,17,19,36,2,11,5,24,55,149,31,125,5,840,3,4,7,25,96,0,0,0,1,41,2,2,55,0,1,0,0,1,0,0,84
Rehn Miller,6,68,17,11,28,-11,8,0,7,78,125,0,0,10,1122,4,1,5,20,113,0,0,0,1,22,4,1,107,0,1,0,0,0,0,1,1000
Toivo Kosonen,11,115,17,66,83,18,55,5,94,139,247,27,37,172,2727,9,10,19,116,311,0,0,0,3,266,3,1,0,1,1,0,0,0,0,0,0
Zander Rhys,13,119,17,54,71,-9,97,5,200,116,201,42,78,164,2648,4,10,14,80,272,0,0,0,2,186,2,1,0,0,0,0,0,0,0,0,0
John LangabeerI,7,69,17,25,42,-3,26,0,73,87,220,49,101,8,1324,4,6,10,40,149,0,0,0,0,38,1,1,132,0,0,0,0,0,0,0,8
Alexandre Daigle,5,62,16,13,29,7,34,0,136,59,110,0,0,7,1156,5,4,9,30,182,0,0,0,1,56,4,1,85,0,0,0,0,0,0,0,101
Alexis Metzler,14,130,16,57,73,-8,76,0,187,136,209,44,112,168,2990,9,15,24,97,271,0,3,3,0,256,4,1,0,0,0,0,0,0,0,0,0
Dank Boija,5,48,16,29,45,11,58,10,139,82,157,41,104,17,1001,2,8,10,19,82,0,1,1,4,82,4,1,534,0,0,0,0,0,,,
Dean Colt,9,100,16,22,38,10,92,20,156,151,113,0,0,9,1545,2,3,5,10,114,1,0,1,2,169,2,0,1827,0,0,0,0,2,0,1,0
Guy Zheng,7,74,16,21,37,8,18,0,96,16,195,7,15,157,1730.75,4,2,6,10,109.5166667,1,0,1,0,111.5,0,0,25,0,0,0,0,0,0,0,37
Logan Jensen,5,63,16,21,37,-10,24,20,20,77,197,43,135,10,1022,3,7,10,21,90,0,0,0,0,30,3,1,353,0,0,0,0,0,0,1,0
Mark Longford,6,73,16,24,40,1,18,0,87,77,162,0,0,7,1319,4,5,9,25,137,0,0,0,0,1,3,0,100,0,1,0,0,0,,,
Nicolaj Muller,9,89,16,16,32,-4,23,0,59,39,186,31,65,52,1318.183333,0,0,0,3,44.85,0,0,0,3,50.15,3,0,86,0,0,0,0,1,0,0,0
Ronnie Westbrook,7,59,16,27,43,-8,41,5,107,109,157,20,66,53,1391,7,8,15,51,144,0,0,0,2,153,3,0,885,0,0,0,0,1,0,0,2
Sergei Karpotsov,4,38,16,22,38,11,91,,60,,117,,,16,,,,,,,,,,,,,,,,,,,,0,0,0
Tig Murphy,9,104,16,42,58,20,56,0,184,58,280,38,74,182,2297.75,3,6,9,40,192.4,1,1,2,3,140.0166667,3,0,0,0,0,0,0,0,0,0,0
Travis Kudleychuk,6,58,16,31,47,12,31,25,38,151,150,4,2,14,1287,3,5,8,36,121,0,0,0,2,101,1,0,1730,2,0,0,0,0,0,0,0
Vijanupatan Singh,10,98,16,27,43,-1,16,0,67,136,229,44,111,14,1483,2,3,5,11,77,0,0,0,1,56,7,2,1308,0,0,0,0,0,0,0,273
Winston Windsor,7,80,16,52,68,-6,6,0,64,118,134,0,0,126,2104,6,13,19,57,212,1,0,1,2,183,4,2,7,0,0,0,0,0,1,1,662
Andrey Barbashev,4,47,15,25,40,10,2,0,20,87,123,0,0,55,1222,4,7,11,37,157,2,0,2,2,107,1,0,380,1,0,0,0,0,0,0,633
Barret McCarthy,13,107,15,53,68,-36,62,0,172,97,173,45,68,224,2535.5,6,12,18,42,195.8166667,1,0,1,5,200.9666667,5,0,1,0,1,0,0,0,1,1,0
Big Manius,7,82,15,32,47,7,73,5,189,73,147,15,35,132,1862,7,10,17,66,220,0,0,0,1,156,1,0,4,0,0,0,0,0,0,0,0
Cameron Carter II,6,48,15,20,35,8,20,0,145,43,155,29,63,17,978.9166667,2,2,4,11,51.26666667,0,0,0,1,57,2,1,84,1,0,0,0,0,0,0,0
Drizzy Drake,6,68,15,21,36,-14,22,0,63,79,101,0,0,87,1459,9,5,14,52,173,0,0,0,2,139,3,2,0,1,0,0,0,0,,,
GOD McZehrl,9,84,15,32,47,12,46,0,112,52,163,26,58,89,1805.45,1,4,5,26,122.95,1,0,1,0,110.8333333,0,0,259,0,0,0,0,0,,,
Jack Burton,8,56,15,13,28,-12,40,0,87,71,148,0,6,24,1212,3,2,5,33,108,0,0,0,2,93,2,0,84,0,0,0,0,0,0,0,49
James Blaine,4,46,15,9,24,4,32,0,80,55,141,0,0,6,1001,3,6,9,20,141,0,0,0,3,56,3,0,69,0,0,0,0,0,3,2,924
Karl Hefeweizen,12,161,15,58,73,28,28,0,113,128,171,66,108,190,3148,5,14,19,77,255,0,0,0,0,277,1,0,0,0,0,0,0,0,0,2,0
Liam Kinsler,7,81,15,17,32,19,14,0,71,79,116,0,0,15,1119,1,0,1,13,64,0,0,0,0,68,3,1,759,0,0,0,0,0,0,0,0
Marc-Andre Malkin,7,82,15,43,58,-3,13,5,22,97,146,0,0,133,2033,7,10,17,68,192,0,0,0,5,235,3,1,0,0,0,0,0,1,0,0,3
Ostap Maksimov,12,129,15,46,61,15,40,30,35,117,182,55,101,142,2518,6,11,17,90,273,0,2,2,1,279,3,0,0,0,0,0,0,0,0,0,253
Rex Kirkby,11,144,15,57,72,27,72,0,163,62,269,34,40,248,3124.483333,0,8,8,26,196.7666667,0,3,3,1,188.5,2,1,0,0,0,0,0,0,0,0,0
Xander Green,7,71,15,26,41,6,33,15,88,135,169,20,50,11,1440,2,7,9,15,154,0,0,0,2,50,0,2,1329,0,0,0,0,0,0,0,0
Yousuf Scherbluk,6,67,15,37,52,7,42,0,93,167,189,0,0,10,1601,3,10,13,35,236,0,0,0,2,179,4,0,1842,0,0,0,0,0,0,0,0
Anders Christiansen,10,84,14,41,55,-17,39,5,112,113,203,42,96,63,1797.216667,1,10,11,20,115.4833333,0,0,0,1,161.95,1,1,1491,1,1,0,0,0,0,1,0
Andreas Kvalheim,6,58,14,24,38,3,17,5,120,12,164,12,34,42,1221.233333,1,2,3,0,57.13333333,0,0,0,0,46.6,2,0,844,0,0,0,0,0,0,0,0
Armin Brovalchuk,5,56,14,27,41,-3,29,25,37,177,204,0,0,18,1507,7,6,13,37,191,0,0,0,3,187,3,1,1493,0,0,0,0,3,0,1,0
Borromini Cannellini,7,61,14,25,39,3,40,0,157,54,138,25,69,18,1291.55,3,4,7,10,90.03333333,0,0,0,1,111.7333333,2,0,1064,0,0,0,0,0,0,1,0
Bradley Wingels,3,40,14,10,24,8,0,0,17,37,90,0,0,11,572,2,3,5,14,69,0,0,0,0,11,1,0,47,0,0,0,0,0,0,0,23
Brock Nuck,8,88,14,19,33,-10,32,10,83,57,158,47,114,15,1351.483333,0,0,0,0,22,0,0,0,0,0,2,0,94,0,0,0,0,0,,,
Calogero Crudelli,5,39,14,12,26,-5,8,0,22,11,84,6,14,16,670.0166667,5,2,7,4,59.96666667,0,0,0,0,4.166666667,2,0,12,0,0,0,0,0,1,0,40
Charles Walker,13,125,14,39,53,0,57,5,124,95,185,47,86,150,2488,6,9,15,64,162,0,2,2,2,186,0,2,0,0,0,0,0,0,,,
Connor Tanner,9,93,14,41,55,-4,22,0,52,106,174,51,109,140,2214,9,15,24,89,244,0,1,1,1,204,5,1,0,0,0,0,0,0,0,0,0
Dane Rowe,6,71,14,15,29,-10,10,10,39,130,118,0,0,12,1210,3,3,6,11,72,0,0,0,0,49,5,1,1214,0,0,0,0,2,0,0,0
Goku Muerto,8,61,14,28,42,-16,22,0,74,67,176,29,87,55,1255.633333,2,7,9,13,114.8333333,0,0,0,1,47.71666667,4,1,898,0,0,0,0,0,0,0,0
Kaspars Claude,9,84,14,31,45,-12,14,0,99,7,215,5,20,149,1974.75,1,6,7,22,150.3666667,0,0,0,0,103.6333333,5,0,0,0,0,0,0,0,0,0,0
Maxim Horvat,6,71,14,30,44,1,32,0,95,134,129,0,0,63,1752,2,6,8,45,228,0,0,0,0,109,2,1,679,0,1,0,0,0,0,0,0
Mikhail Lokitonov,7,48,14,19,33,-13,51,25,113,94,167,50,118,9,1080,3,5,8,29,109,0,0,0,0,77,0,1,1064,0,0,0,0,0,0,1,0
Patrick Brumm,5,46,14,17,31,-3,6,0,25,68,171,0,0,24,1146,1,6,7,31,98,0,0,0,3,65,3,1,66,0,0,0,0,0,0,0,0
Ray Bork,7,85,14,26,40,6,28,0,130,48,172,26,31,110,1850.666667,3,4,7,34,113.2166667,0,0,0,0,86.2,3,0,2,0,0,0,0,0,0,0,0
Roy Razin,5,69,14,33,47,6,22,10,18,108,133,0,0,111,1943,8,5,13,57,197,0,0,0,3,183,1,2,0,1,0,0,0,1,0,0,6
Ryan King,4,29,14,9,23,-3,24,20,38,38,113,0,0,8,698,0,2,2,15,74,0,0,0,1,102,4,1,66,0,0,0,0,0,0,3,0
Snowden Manning,6,68,14,16,30,-12,30,0,129,89,169,0,0,12,1223,1,5,6,16,102,0,0,0,0,45,1,0,536,0,0,0,0,0,1,0,0
Willy Mack,6,49,14,11,25,2,10,0,33,62,113,37,97,8,778,0,4,4,27,111,0,0,0,1,26,1,2,64,1,1,0,0,0,,,
Yuri Boyka,5,41,14,9,23,-6,2,0,21,50,156,0,0,2,872,5,2,7,28,131,0,0,0,0,12,1,0,61,0,0,0,0,0,0,0,0
Friedrich Muller,3,52,14,24,38,14,37,15,81,63,90,0,0,66,1181,9,6,15,49,120,0,2,2,0,183,3,0,0,0,0,0,0,0,0,0,16
Ammon Tutankamun,4,43,13,13,26,-17,32,0,118,49,123,0,0,1,940,4,6,10,33,143,0,1,1,2,63,3,0,78,0,0,0,0,0,0,0,9
Benjamin Wong,3,33,13,14,27,7,5,5,5,68,116,0,0,13,712,0,4,4,11,79,0,0,0,3,79,1,2,65,0,0,0,0,0,,,
Bryson Thomaz,4,41,13,20,33,3,22,0,65,78,119,0,0,19,797,2,5,7,22,83,1,0,1,1,72,2,0,46,0,0,0,0,0,0,1,272
Casey Creller,13,143,13,36,49,21,130,0,258,102,151,44,74,164,2645,3,6,9,52,178,0,0,0,0,275,6,1,0,0,0,0,0,0,0,0,0
Chico Smeb,12,114,13,29,42,-11,50,10,139,56,166,29,63,140,2252.816667,5,4,9,48,223.2333333,0,0,0,0,167.4,0,1,0,0,0,0,0,0,0,0,0
Craig Finley,9,80,13,11,24,-20,10,0,55,41,82,31,61,88,1327.833333,3,2,5,21,114,0,0,0,1,78.1,3,1,4,0,0,0,0,0,0,0,0
Grigori Pajari,5,54,13,11,24,8,53,5,151,79,174,0,0,11,985,2,1,3,9,37,0,0,0,0,14,1,1,75,0,0,0,0,0,0,0,0
Ignatius Blunt,7,75,13,16,29,-5,42,20,81,42,121,27,60,14,1357.383333,3,1,4,12,78.8,0,0,0,0,10.16666667,1,2,68,0,0,0,0,1,0,0,0
Jamers Both,4,40,13,23,36,6,4,0,13,50,94,0,0,2,826,3,5,8,19,137,0,0,0,1,8,2,0,71,0,0,0,0,0,0,0,0
Jeff Brogen,6,47,13,22,35,-9,4,0,35,61,144,31,114,25,1048.7,0,7,7,22,96,0,0,0,2,79.9,1,0,109,0,0,0,0,0,0,0,1
Mikhail Krivokrasov,4,58,13,18,31,-6,0,0,6,73,120,0,0,5,1082,0,8,8,27,173,0,0,0,0,0,2,0,87,0,0,0,0,0,0,0,0
Mitchell van der Heijden,5,58,13,20,33,-1,12,,74,,148,,,40,1173.35,1,1,2,,30.71666667,0,0,0,,36.73333333,1,,846,,,,,0,0,0,0
Oliver Pettyfer,6,41,13,11,24,-4,12,10,5,64,124,0,0,4,864,3,5,8,23,130,0,0,0,0,6,1,0,71,0,0,0,0,1,0,0,0
Pavol Skvoznak,4,32,13,17,30,5,76,,60,,129,,,24,,,,,,,,,,,,,,,,,,,,0,0,2
Poopity Scoop,14,137,13,64,77,-5,126,20,330,73,290,25,56,261,3297.216667,5,11,16,38,262.5666667,0,0,0,0,209.8166667,1,0,0,0,0,0,0,1,0,0,0
Reed Laing,4,34,13,11,24,-5,28,0,133,44,117,0,0,6,759,2,2,4,24,99,0,0,0,0,5,1,0,57,0,0,0,0,0,0,0,0
Rintarou Okabe,8,114,13,15,28,14,10,0,85,0,129,0,0,34,1487.25,0,0,0,0,0,1,0,1,0,19.68333333,1,0,832,0,0,0,0,0,0,0,0
Ryuuji Minamino,3,56,13,20,33,17,6,,62,,150,,,30,1040.933333,0,0,0,,0,0,0,0,,4.616666667,2,,56,,,,,0,0,0,0
Shawn Velevra,3,40,13,20,33,0,13,5,61,75,138,0,0,34,991,3,4,7,53,147,0,0,0,0,113,4,1,51,0,0,0,0,0,0,0,0
Thomas Vanice,4,54,13,11,24,-3,10,,60,,94,,,54,998.2166667,0,1,1,,10.35,0,0,0,,3.35,1,,19,,,,,0,0,0,0
Vorian Atreides,8,68,13,20,33,-13,14,0,33,7,122,2,13,42,1121.833333,1,1,2,0,42.53333333,0,0,0,0,32.98333333,2,0,899,0,0,0,0,0,0,0,0
Akashi SixNine,9,120,12,38,50,17,61,0,207,31,176,5,13,103,2199.033333,0,0,0,3,27.01666667,0,0,0,0,131.6333333,2,0,2,0,0,0,0,1,0,0,0
Ben Dover,9,76,12,48,60,-5,67,5,128,93,167,52,94,128,1818,4,9,13,69,197,1,2,3,3,200,1,0,1,0,0,0,0,0,0,0,0
Benjamin Reid,9,114,12,40,52,5,33,5,72,88,148,0,0,109,2172,4,12,16,71,322,1,1,2,2,278,2,1,0,0,0,0,0,0,0,0,0
Brandon Holmes,3,30,12,14,26,-3,43,,40,,128,,,10,,,,,,,,,,,,,,,,,,,,0,0,0
Bubba Nuck,8,89,12,47,59,17,130,0,216,96,118,3,5,128,2219,6,7,13,51,224,0,1,1,1,193,0,1,5,0,0,0,0,0,0,0,0
Burlok Sulfurgold,4,37,12,8,20,3,6,,46,,72,,,42,748.3,0,0,0,,6.8,0,0,0,,12.53333333,0,,32,,,,,0,0,0,0
Commander Shepard,6,57,12,23,35,-10,15,5,52,47,136,22,56,56,1111.566667,1,4,5,8,78.13333333,0,0,0,0,58.66666667,3,1,667,0,0,0,0,0,0,0,0
Corey Kennedy,7,81,12,34,46,6,25,0,132,19,233,5,13,163,1913.433333,1,6,7,10,153.7666667,0,0,0,0,99.03333333,4,0,0,0,0,0,0,0,0,0,0
Disisde Dayudie,5,79,12,29,41,20,19,,98,,205,,,111,1648.85,2,0,2,,48.51666667,0,1,1,,45.7,1,,0,,,,,0,0,0,291
Don Pellegrino,4,42,12,21,33,9,2,0,25,57,123,0,0,9,936,2,6,8,15,109,0,0,0,0,0,0,1,61,1,0,0,0,0,0,2,360
Elias Lindstrom,4,33,12,8,20,16,8,0,33,17,91,7,17,7,576,1,2,3,11,61,0,0,0,0,3,5,1,37,0,0,0,0,0,0,0,0
Isak Odegard,9,80,12,21,33,-8,28,0,85,68,115,32,68,107,1678,3,3,6,32,113,0,0,0,1,149,1,0,0,0,0,0,0,0,0,0,0
Knute Knurtsson,7,58,12,20,32,9,8,0,50,20,115,9,17,25,1043.7,1,0,1,5,12.28333333,1,0,1,0,88.2,2,0,803,0,0,0,0,0,0,0,0
Max Mauldin,8,67,12,40,52,5,22,0,71,111,198,33,88,13,1528.5,2,6,8,22,148.9333333,1,1,2,3,139.4833333,3,0,1794,0,0,0,0,0,,,
Miles Berger,5,50,12,17,29,0,22,0,51,122,98,0,0,10,1042,3,6,9,18,149,1,0,1,1,98,2,1,1291,0,0,0,0,0,0,0,319
Nicholas Flamel,8,77,12,18,30,-2,26,10,37,84,132,0,0,11,1150,3,4,7,13,100,1,0,1,1,77,1,0,108,0,0,0,0,0,0,0,231
Nickolas Klaus,5,44,12,18,30,6,10,0,48,77,125,39,89,8,771,2,5,7,14,89,0,0,0,0,0,2,1,891,0,0,0,0,0,0,0,97
Noctis Caelum,9,100,12,36,48,-8,87,35,122,120,130,25,52,141,2281,6,9,15,50,174,0,0,0,0,200,1,1,0,0,0,0,0,0,0,0,0
Rider Clitsome,3,44,12,8,20,7,4,0,5,57,125,0,0,12,835,2,3,5,35,121,0,0,0,0,20,2,0,79,0,0,0,0,0,1,0,0
Rikard Hammarberg,4,62,12,23,35,13,2,,53,,140,,,36,1218.116667,0,1,1,,19.68333333,0,0,0,,24.98333333,2,,675,,,,,0,,,
Ron Mexico,4,37,12,17,29,-1,52,,54,,143,,,14,,,,,,,,,,,,,,,,,,,,0,0,5
Slap McShotty,4,37,12,11,23,0,4,0,44,16,82,0,11,35,740.4666667,1,3,4,0,39.15,0,0,0,0,27.03333333,2,0,694,0,0,0,0,0,0,0,2
Sven Karlsson,6,49,12,24,36,-5,26,10,38,108,141,1,9,11,1159,2,6,8,24,150,0,1,1,5,110,5,0,1552,1,0,0,0,1,0,0,90
Tigole Bitties,6,52,12,17,29,-18,67,15,63,120,174,42,85,30,1165,4,8,12,48,145,0,0,0,1,119,4,0,839,0,0,0,0,0,,,
Alek Koivu,8,80,11,38,49,25,28,0,48,45,66,5,17,62,1313,2,4,6,18,79,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,1
Ales Smirnov,7,61,11,21,32,0,38,10,47,76,167,0,0,13,1078,1,6,7,13,105,0,0,0,2,128,1,0,298,0,0,0,0,1,0,0,17
Boris Poroshenko,7,69,11,22,33,0,32,0,160,2,153,0,4,42,1166.55,0,0,0,0,27.43333333,0,0,0,0,38.9,1,0,603,0,0,0,0,0,0,0,0
Brennan Kennedy Jr.,14,124,11,46,57,8,84,0,213,71,170,18,42,204,2616.533333,4,6,10,19,139.1333333,0,2,2,0,244.7333333,0,0,0,0,0,0,0,0,0,0,72
Brian Morley,5,41,11,19,30,-1,23,15,59,94,161,0,0,11,1005,2,7,9,23,131,1,0,1,4,141,1,0,114,0,0,0,0,0,0,1,0
Brock Becker,4,46,11,12,23,-9,17,15,19,41,100,21,62,9,658,0,1,1,2,14,0,0,0,0,0,1,0,146,0,1,0,0,2,0,0,2
Bryan Whisonant,4,64,11,6,17,-2,34,0,123,29,70,0,0,5,880,0,1,1,1,14,0,0,0,0,93,0,0,52,0,0,0,0,0,0,0,57
Chara Brojled,6,68,11,13,24,-7,18,0,54,54,140,0,0,5,1091,5,1,6,25,101,0,0,0,2,17,1,0,78,0,0,0,0,0,,,
Chris Partlow,3,40,11,26,37,20,54,20,99,86,96,0,0,67,1192,4,4,8,58,146,0,0,0,2,88,2,0,0,0,0,0,0,1,0,0,36
Cody Black,4,39,11,20,31,-14,38,20,76,43,57,0,0,51,935,6,5,11,27,102,0,1,1,0,79,4,0,0,0,0,0,0,1,0,0,584
Derrick Glover,13,122,11,38,49,-16,12,0,47,184,224,27,98,25,2327,3,6,9,19,143,0,0,0,1,153,1,0,1877,0,0,0,0,0,0,0,2
Edward Williams,4,37,11,15,26,0,8,,83,,71,,,29,709.8,0,0,0,,14.05,0,0,0,,11.18333333,3,,555,,,,,0,0,0,128
Finn Kruger,11,92,11,43,54,-1,71,5,121,86,116,31,64,128,1971,5,10,15,65,197,0,1,1,2,217,0,0,0,0,0,0,0,0,0,,3
Florence Clijsters,5,52,11,16,27,-4,22,10,34,70,106,29,69,7,886,0,1,1,11,103,0,0,0,0,15,3,0,921,0,0,0,0,0,0,0,212
Jamie Hawkins,3,39,11,7,18,0,6,0,22,60,100,0,0,7,845,0,2,2,16,121,1,0,1,4,86,4,1,52,0,0,0,0,0,,,
Jason Smith,4,40,11,7,18,-4,6,0,37,57,96,0,0,8,639,2,0,2,5,30,0,0,0,0,0,1,2,37,0,0,0,0,0,0,2,106
Kit Smeb,6,69,11,19,30,-9,12,0,62,25,147,13,42,16,1221.683333,0,1,1,7,27,0,0,0,0,7.033333333,2,0,367,0,0,0,0,0,0,0,17
Kristaps Ball,5,47,11,30,41,6,0,0,5,67,97,35,69,85,1116,5,7,12,44,137,0,1,1,0,136,2,0,0,0,0,0,0,0,0,1,349
Lionel Byrde,3,40,11,26,37,6,15,5,43,83,136,0,0,9,857,4,6,10,24,140,0,0,0,1,41,2,1,69,0,0,0,0,0,0,0,0
Lyle Odelein III,8,82,11,31,42,7,20,0,175,17,153,8,18,168,1821.15,2,5,7,11,100.35,0,0,0,0,116.4166667,2,1,0,0,0,0,0,0,0,,0
Niklas Wikstrom,5,58,11,13,24,-9,12,0,25,72,117,0,0,11,1009,2,3,5,27,154,0,0,0,0,20,3,0,619,0,0,0,0,0,1,0,248
Robb Wind,5,53,11,7,18,-9,6,0,19,36,106,0,0,7,737,2,0,2,12,47,0,0,0,0,0,1,0,46,0,0,0,0,0,0,0,0
Spitfire,8,94,11,41,52,-1,24,10,56,91,155,31,72,112,2025,5,8,13,61,196,0,1,1,2,175,3,0,19,0,0,0,0,0,0,4,0
Tatu Makela,11,111,11,55,66,6,102,0,259,137,180,57,121,176,2584.966667,8,15,23,96,277,0,0,0,1,204.15,1,0,0,0,0,0,0,0,0,,134
Kyle Sutton,3,29,11,4,15,1,6,,21,,62,,,17,500.6,0,0,0,,0,0,0,0,,6.8,2,,44,,,,,0,0,0,0
Brett Kennedy,5,60,10,11,21,0,28,0,166,105,60,10,26,6,1054,1,1,2,4,72,0,0,0,0,79,1,0,1361,0,0,0,0,0,0,0,0
David Fantobens,5,49,10,16,26,-11,20,0,31,56,128,66,113,13,851,1,1,2,10,46,0,0,0,1,26,4,0,48,0,0,0,0,0,0,0,0
Felix Herzog,5,45,10,10,20,-5,6,0,28,57,114,0,0,31,969,7,1,8,45,114,0,0,0,0,48,1,1,54,0,0,0,0,0,0,0,4
Filip Zadina,6,46,10,4,14,-15,11,0,29,13,75,9,37,10,679.95,0,0,0,0,4.283333333,0,0,0,0,5.383333333,2,1,104,0,0,0,0,1,0,0,0
Isaac Cormier-Hale,7,88,10,38,48,-16,130,40,140,79,93,18,32,137,1935,5,13,18,38,199,0,0,0,0,152,0,2,0,1,0,0,0,2,0,1,0
Jackson Cartier,5,57,10,23,33,-15,70,0,117,68,64,0,0,80,1344,3,8,11,28,106,0,0,0,0,132,2,0,0,0,0,0,0,0,1,1,0
Ja'Far Dar,5,54,10,14,24,-2,0,0,10,95,72,0,0,5,835,0,4,4,8,80,0,0,0,0,16,3,0,781,0,0,0,0,0,,,
