Player Name,Count of Season,GP,G,A,P,plusMinus,PIM,HIT,HTT,SHT,SB,MP,PPG,PPA,PPP,PPS,PPM,PKG,PKA,PKP,PKS,PKM,GWG,GTG,FOT,ENG,HT,PSG,PSA,FW,FL,FD,FOWQ,,,
Dermot Lavelle,12,600,203,262,465,93,206,100,280,1320,1954,535,1279,128,13242,34,70,104,319,1465,1,2,3,25,1229,33,14,15119,4,3,13,42,5,0,3,1831
Alex Winters,12,600,190,267,457,51,206,30,560,603,1798,395,937,264,12430.2,39,48,87,228,1222.116667,1,2,3,11,509.1666667,33,8,1041,4,3,8,28,1,1,0,1
Leafer Rielly,12,600,177,253,430,60,321,125,658,1041,1762,271,811,134,11496,27,56,83,245,1080,4,1,5,34,1063,29,9,9237,0,4,5,25,6,0,0,19
Teodors Cukurs,12,600,160,260,420,-17,230,70,625,1303,1511,214,565,122,11702,32,70,102,245,1281,2,3,5,15,809,19,12,14798,1,0,5,22,3,0,0,0
Xander Green,12,600,148,270,418,-9,203,55,700,1156,1647,335,881,93,12751,27,62,89,241,1405,2,4,6,22,818,16,14,13469,1,0,13,42,0,0,0,0
Iam Essellemm,12,600,185,227,412,-50,91,15,274,894,1794,430,1204,231,12400.2,29,53,82,241,1159.366667,0,3,3,25,1020.383333,19,15,6346,6,4,9,42,1,0,0,2
Herb Robert,13,600,169,224,393,-71,150,0,722,523,1707,421,991,250,12103.55,33,51,84,212,1344.366667,0,1,1,2,194.45,21,6,2512,2,2,7,32,0,0,0,0
Charlie Schieck,12,600,72,301,373,12,302,0,892,518,1013,195,447,826,13262.66667,32,78,110,315,1284.816667,0,4,4,7,917.6333333,6,5,13,1,0,1,2,0,0,0,0
Vince Reaper,12,600,180,189,369,-111,169,5,434,447,1709,338,989,287,11636.9,27,44,71,173,1027.233333,1,0,1,9,329.7333333,37,4,1087,2,2,6,31,0,0,0,0
Kristaps Ball,12,600,88,270,358,-48,102,0,310,648,1018,308,566,994,13508.93333,31,64,95,376,1325.4,0,2,2,11,1165.683333,13,2,47,1,2,9,23,0,0,0,0
Harvey Danger,12,600,82,267,349,-10,577,105,1058,529,901,242,469,973,13729.31667,38,61,99,300,1501.6,1,3,4,7,1239.733333,13,4,0,1,0,0,0,4,0,0,30
Ostap Maksimov,12,600,95,230,325,51,222,120,196,568,912,291,629,788,12817,39,50,89,383,1248,2,5,7,15,1272,16,6,0,1,0,3,10,4,0,0,1
Tim Buckner,12,600,134,159,293,61,589,75,1511,583,1507,0,0,96,9704,12,18,30,113,502,1,0,1,20,671,23,9,706,2,2,5,12,1,0,0,2
Beau Bent,13,600,132,152,284,-48,151,45,439,908,1249,132,319,113,9623,20,28,48,176,825,2,0,2,16,583,18,6,10790,0,1,3,29,2,0,0,0
Brett Kennedy,12,600,97,163,260,-23,665,155,1612,1248,1205,239,690,107,10839,9,40,49,172,936,1,2,3,25,1003,16,7,14134,1,0,9,25,8,0,0,0
Craig Finley,12,600,49,203,252,-51,137,0,512,293,676,195,380,781,10368.56667,20,48,68,207,888.3833333,0,4,4,7,638.8666667,6,3,10,0,0,4,9,0,0,0,0
Danny Foster,13,600,31,217,248,-63,1431,265,2111,586,416,49,106,740,11622,10,36,46,132,616,0,3,3,4,1166,3,1,1,1,0,1,2,16,0,0,0
Kri?s Labsvards,12,600,49,128,177,70,109,25,175,291,391,0,0,433,7637,25,26,51,172,699,1,3,4,4,1039,10,4,3,0,0,7,20,1,0,0,3
Roman Morenov,12,600,16,151,167,84,640,50,1324,480,221,0,0,692,10819,1,5,6,14,166,0,1,1,3,1481,3,1,0,0,0,0,1,1,0,0,0
Brian Wheat,13,600,55,56,111,-105,225,65,352,357,611,66,113,51,6919,4,8,12,20,266,0,1,1,4,212,9,4,427,0,0,0,0,4,0,0,0
Dwayne Wyder,13,600,28,72,100,-27,474,80,906,212,320,34,82,278,6629,3,3,6,16,127,0,1,1,1,132,4,1,141,0,0,3,12,2,0,0,18
Niklaus St. Croix,12,600,13,87,100,-94,406,0,898,305,173,40,77,498,7435,5,8,13,46,325,0,0,0,0,617,4,1,6,0,0,1,2,0,0,0,0
Rachel Belmont,12,600,21,21,42,-21,65,5,83,83,219,70,116,17,1860,6,5,11,23,121,0,0,0,0,4,5,3,112,0,0,0,0,2,0,0,0
Toby Keith,12,600,13,24,37,-148,130,10,192,438,259,18,43,34,4874,1,0,1,13,120,0,0,0,0,82,2,2,3935,0,0,0,0,0,0,0,3
Sam McGrizzley,12,600,0,2,2,-4,5,5,10,3,4,0,3,1,183,0,0,0,2,33,0,0,0,0,44,0,0,108,0,0,1,1,1,0,0,4
Sterling Slaughter,12,600,0,1,1,3,4,0,11,0,1,0,1,1,116,0,0,0,0,11,0,0,0,0,31,0,0,5,0,0,0,0,0,0,0,0
Antero Salmelainen,14,599,176,203,379,59,173,25,239,689,1506,98,246,109,10860,37,38,75,261,1415,0,0,0,6,173,29,13,644,0,4,6,27,0,0,0,14
Anton Fedorov,14,599,135,154,289,-8,34,0,168,600,1538,0,0,72,9915,19,30,49,182,886,0,0,0,5,287,24,3,708,1,1,3,5,0,0,0,0
Julien Marshall,12,598,200,236,436,2,461,255,562,965,1850,107,188,116,12367,40,68,108,362,1811,6,3,9,29,1007,28,12,1361,2,6,14,51,5,0,0,1
Fedor Shirobokov,12,598,31,200,231,-36,632,130,1167,606,331,89,183,743,11356,7,8,15,55,220,0,9,9,1,1103,4,3,6,0,0,0,8,9,0,0,0
Dave Smith,14,596,114,290,404,52,622,150,1268,996,1197,12,32,431,13693,36,74,110,412,1615,1,2,3,17,1364,17,8,2731,0,1,6,14,3,0,0,0
Alexey Kovalenko,12,596,204,177,381,114,793,135,1824,853,1844,0,0,222,12243,43,47,90,432,1585,6,2,8,50,1640,40,11,1009,1,2,9,32,3,0,0,0
Donnie Darko,12,596,15,107,122,5,512,160,713,640,179,33,34,509,8340,5,6,11,40,265,0,3,3,0,972,1,1,1,0,0,2,3,6,0,0,31
Daniel Malenfant,13,594,168,270,438,107,592,160,1037,1182,1291,329,607,202,10531,31,60,91,165,1177,3,7,10,37,1286,32,8,9915,2,6,2,4,11,1,5,4729
Vyacheslav Onoprienko,15,593,19,153,172,40,641,175,906,940,355,129,121,646,11814,6,24,30,55,809,0,7,7,14,1497,2,0,0,1,0,2,3,6,0,0,15
Jason Michaels,14,591,60,100,160,-69,201,65,256,673,548,16,50,262,8467,15,25,40,119,800,0,3,3,8,737,4,2,2870,2,1,3,8,2,2,3,1764
Hiro Fujikawa,13,586,128,203,331,11,196,15,770,279,1517,233,574,246,10863.83333,17,39,56,106,988.8166667,0,0,0,1,154.8,18,3,701,0,0,7,18,2,1,2,136
Mercer Church,12,586,76,94,170,-23,123,25,323,613,864,162,504,42,7352,3,1,4,10,64,0,0,0,1,157,11,8,5964,0,0,2,11,2,0,0,39
Raymond Lindsay,13,584,195,232,427,66,482,160,860,870,1553,372,745,169,10880,43,69,112,230,1628,7,6,13,44,1019,44,16,4490,1,3,7,27,13,0,1,0
Ideen Fallah,14,584,175,189,364,-26,467,185,454,640,1418,438,818,164,9190,40,57,97,208,1351,0,0,0,7,237,31,16,728,2,3,15,57,8,0,0,0
Zach Dooley,13,584,114,194,308,15,647,205,1638,1198,1100,249,383,424,12324,21,37,58,146,1220,7,5,12,47,1623,22,5,3453,3,3,1,4,10,4,23,3
Dominic Montgomery,12,584,58,249,307,5,238,5,830,275,997,52,151,1112,12529.55,21,44,65,55,949.5,1,4,5,1,904.9166667,11,1,9,0,0,0,0,1,0,0,0
Martijn  Westbroek,11,582,229,311,540,130,197,45,658,452,1905,130,358,352,11826.76667,62,84,146,60,1144.783333,2,2,4,12,605.2833333,44,3,13019,0,0,0,1,3,5,1,529
Jimmy Slothface,12,582,222,298,520,94,176,15,590,320,1889,191,489,243,12275.86667,50,77,127,97,1176.65,3,1,4,4,377.7333333,43,5,6010,0,3,0,1,0,3,2,3145
Matt Kholin,11,582,194,326,520,78,203,35,571,596,2048,181,489,200,12415.2,59,92,151,123,1365.183333,2,3,5,12,664.4666667,36,5,12537,0,0,4,14,2,1,0,1029
Bobby Sharp,11,582,192,326,518,247,233,25,539,255,1850,163,472,394,11641.33333,34,67,101,67,985.15,0,2,2,0,375.5833333,38,5,6967,0,1,0,2,1,4,4,569
Nick Brain,11,582,225,292,517,28,375,75,998,477,1989,233,578,579,12757.53333,52,72,124,142,1219.033333,4,4,8,10,1058.516667,44,4,11336,0,2,2,8,5,0,0,2
Barry Batsbak,11,582,180,330,510,112,188,20,428,449,1698,131,361,294,11866.65,40,101,141,63,1310.166667,2,4,6,15,706.8833333,41,6,11173,1,1,0,0,1,1,0,1
Commander Shepard,11,582,179,258,437,53,352,30,716,446,1613,171,448,506,12038.4,26,57,83,107,1004.9,5,4,9,5,976.6833333,27,1,4034,0,0,2,3,2,3,15,27
Michael Fox,11,582,164,271,435,93,143,5,459,247,1684,150,440,445,11303.46667,22,49,71,32,783.7833333,0,1,1,0,210.7833333,27,3,630,1,1,0,1,0,0,0,24
Slap McShotty,11,582,138,284,422,52,269,5,825,373,1414,91,241,406,11833.06667,29,69,98,2,814.5333333,0,4,4,5,674.9833333,19,2,11786,0,0,0,0,0,0,2,247
James Truong,11,582,159,257,416,150,184,0,459,282,1632,147,404,274,10883.36667,12,25,37,33,513.25,1,3,4,5,367.0166667,31,3,953,0,0,0,0,0,0,1,73
Karlstrasse Scholz,11,582,124,292,416,179,246,40,885,229,1647,125,272,717,13341.33333,48,76,124,171,1362.1,2,2,4,4,1043.883333,16,5,2,0,0,5,9,3,0,1,510
Trevor Smith,12,582,175,213,388,52,570,190,520,603,1446,352,681,144,9743,43,50,93,225,1384,3,1,4,26,401,21,13,672,1,4,6,27,10,0,0,1
Oliver Cleary,11,582,77,221,298,94,473,105,1261,170,1083,54,137,811,13048.68333,17,39,56,37,1034.583333,3,2,5,2,887.0166667,17,1,123,0,0,0,1,3,21,11,323
Boris Poroshenko,11,582,97,185,282,158,239,5,1018,151,990,38,111,149,9285.783333,9,18,27,0,302.6166667,0,1,1,0,411.6333333,18,0,5782,1,0,4,13,0,0,0,4
Akashi SixNine,11,582,54,215,269,173,366,10,1115,261,930,59,166,548,11415.7,8,21,29,67,638.1666667,0,3,3,1,694.5333333,13,0,0,1,0,1,2,1,0,0,169
Nathan Explosion,11,582,123,146,269,-50,341,45,1429,166,1050,88,243,143,10285.66667,15,24,39,45,549.65,5,3,8,0,484.7833333,13,2,6240,0,0,2,4,1,0,0,0
Andrej Doskocil,11,582,43,172,215,119,635,35,1548,201,727,35,70,1071,11830.95,3,1,4,2,90.21666667,0,1,1,2,921.9666667,6,1,3,1,0,0,0,2,0,1,5
Thomas Bathory,11,582,51,138,189,-9,210,0,749,171,817,51,123,712,10491.9,9,10,19,50,560.0166667,0,2,2,0,357.2666667,5,0,0,1,0,0,0,1,2,2,318
Xavier Gauthier,12,581,54,149,203,-61,395,75,783,614,626,0,0,562,12050,19,21,40,184,1008,0,5,5,3,1085,8,1,1123,1,0,6,16,3,0,0,23
Eko van Otter,12,580,197,251,448,117,143,5,518,266,1825,127,393,320,12211.96667,33,42,75,19,729.6166667,4,3,7,0,487.1333333,35,1,4490,1,0,0,0,0,0,0,0
Filip Zadina,12,578,95,96,191,-179,102,0,253,174,899,102,284,250,8793.366667,11,8,19,3,237.0666667,0,0,0,0,169.5833333,12,3,1085,0,1,2,3,0,3,7,0
Nathan Wong,13,577,17,52,69,-58,233,5,631,577,310,0,0,45,5585,1,4,5,11,166,0,0,0,0,132,7,1,4252,0,0,0,0,0,1,0,0
Aidan Richan,12,576,123,268,391,154,767,195,1587,1126,1008,217,254,691,14120,37,59,96,331,1866,4,7,11,37,1688,18,8,43,1,3,6,23,7,0,0,0
Anastasia O'Koivu,11,576,58,130,188,-49,425,80,1124,178,643,58,126,420,10225.95,3,8,11,17,308.9666667,2,0,2,2,680.0333333,7,3,589,0,0,1,1,4,0,0,18
Steve Linkos,12,572,93,118,211,-48,96,20,183,644,1019,0,0,125,8460,8,14,22,84,452,1,1,2,6,540,8,8,583,2,0,0,0,0,3,18,271
Steven Stamkos,14,570,76,117,193,-67,455,165,366,450,941,260,504,126,6925,17,33,50,97,860,1,0,1,16,172,14,3,846,0,1,6,14,8,3,7,272
Dickie Adua,12,569,21,77,98,-80,123,35,270,437,396,41,84,92,5488,2,12,14,53,438,2,2,4,15,550,5,1,2191,0,0,3,5,1,7,17,0
Dylan Karlsson,12,567,26,116,142,-17,229,5,489,198,476,46,133,478,8748.5,1,2,3,4,116.2333333,0,1,1,0,484.4,0,0,3,0,0,0,0,0,1,2,0
Draco Malfoy,13,567,28,68,96,-80,281,85,333,483,376,15,29,156,6118,5,7,12,52,451,0,0,0,3,339,2,1,314,0,0,2,5,2,0,6,423
Castiel Lee,14,564,93,157,250,-16,738,210,748,517,1065,304,526,175,7817,16,35,51,106,826,4,1,5,24,413,15,11,451,0,1,16,42,14,3,15,4344
Pavol Skvoznak,13,563,182,264,446,47,770,290,688,748,1634,420,856,182,10048,38,69,107,238,1567,4,3,7,21,576,32,17,842,2,2,16,55,21,1,2,97
Chuck Goody,13,562,73,320,393,5,793,145,1313,810,935,0,0,779,14285,38,68,106,510,1774,0,3,3,6,1421,9,4,1,1,0,4,13,7,0,5,778
Jay McDonald,13,561,190,235,425,33,693,240,657,562,1753,444,962,163,9010,41,55,96,221,1248,2,1,3,10,153,29,12,668,1,5,14,61,13,0,,23
Thomas Duddy,11,559,196,241,437,41,457,95,959,742,1529,269,476,105,11160,37,70,107,250,1668,9,10,19,50,1017,26,10,712,0,3,19,55,7,2,11,7
Alexander Kj?rberg,12,559,94,144,238,-67,510,30,1529,1102,924,0,0,66,11487,22,47,69,188,1624,1,1,2,13,1161,17,4,12803,0,0,4,8,0,1,2,1909
Jackson Rogers-Tanaka,11,558,99,310,409,61,371,45,642,678,904,0,0,673,13552,50,88,138,495,1785,0,4,4,7,1399,17,7,14,3,0,0,0,2,0,,0
Lionel Byrde,11,558,165,222,387,46,310,90,572,850,1606,0,0,219,11598,41,69,110,401,1590,3,0,3,24,821,31,16,642,2,3,4,17,5,10,8,5324
Tom Sawyer,11,558,170,196,366,9,294,60,704,944,1624,0,0,114,12653,35,56,91,335,1776,4,1,5,29,1435,27,12,1056,1,1,19,65,2,5,7,913
Alexandre Daigle,13,558,132,152,284,90,356,20,1292,591,1288,0,0,78,11253,32,42,74,266,1583,3,2,5,22,875,24,10,1834,0,1,12,40,1,0,5,177
Jamie Campagiorni,14,558,96,92,188,-53,515,165,569,303,1197,269,559,103,6468,10,12,22,88,397,1,0,1,2,45,13,6,382,0,2,13,32,13,3,8,6148
Rider Clitsome,12,557,211,222,433,37,127,25,309,1024,2107,0,0,142,12547,45,65,110,398,1794,1,0,1,19,584,32,20,902,4,3,18,55,1,4,15,292
Ondrej Ravchitikov,14,556,80,205,285,-57,167,15,350,592,932,0,0,495,12206,36,60,96,493,1626,1,3,4,7,781,11,4,11,2,0,5,13,0,2,,1
Gregory Lazaro,12,556,103,145,248,-48,631,230,559,589,910,225,433,121,7792,19,41,60,102,919,2,3,5,16,563,17,5,4804,1,2,4,16,10,1,0,2072
Corey Tripp,14,556,105,114,219,50,271,15,757,570,930,19,28,66,8763,12,17,29,81,622,6,4,10,30,930,24,10,628,0,1,0,0,1,0,0,1
Mariusz Kwik,11,556,16,128,144,-94,360,0,834,428,268,0,0,539,9573,11,27,38,127,960,0,1,1,0,626,1,1,0,0,0,1,1,0,11,24,0
Charlie Winchester,11,556,24,94,118,45,131,5,218,274,346,0,0,343,8094,2,7,9,52,332,1,1,2,4,759,6,0,21,2,0,2,7,0,1,,1703
Kari Barkov,13,555,150,198,348,23,375,35,1207,779,1567,0,1,131,11889,32,59,91,281,1563,5,2,7,29,1258,31,14,832,2,1,14,44,1,0,0,0
Jackson Spruill,13,555,68,97,165,-47,322,40,1003,601,752,2,10,73,8137,8,24,32,91,630,0,0,0,0,280,7,6,501,1,0,0,1,0,1,0,77
Kain Webb,11,554,248,318,566,118,380,120,855,904,1909,313,702,135,11051,57,86,143,328,1695,1,6,7,15,566,46,17,3561,1,7,15,62,8,0,0,0
Chris Johnson,11,554,115,212,327,83,34,10,76,939,1108,0,0,179,10889,35,56,91,243,1450,3,1,4,8,665,20,5,6048,1,0,0,4,0,0,0,41
Jackson Turska,11,554,71,196,267,31,456,130,1077,887,727,127,176,492,11571,23,42,65,255,1264,2,6,8,24,1676,11,4,170,1,0,1,7,9,0,1,197
Brandon Pomery,12,554,55,126,181,34,425,45,608,329,558,0,0,430,8973,22,34,56,205,1012,0,2,2,4,755,9,7,2,0,0,2,7,0,1,1,7
Michael Astorino,13,554,20,143,163,-46,516,120,986,823,434,102,115,541,10765,6,40,46,106,1091,0,3,3,10,1016,4,0,0,0,0,0,0,6,12,46,4
Michael Stich,13,554,34,32,66,-7,64,10,85,226,435,6,18,20,3887,1,0,1,24,119,0,0,0,0,14,3,2,255,1,0,0,0,1,2,0,0
Andrey Barbashev,11,552,137,272,409,51,226,100,276,1230,1382,0,0,275,12281,33,82,115,300,1454,3,2,5,23,1699,26,13,11033,1,0,0,1,2,0,1,1
Adam Johansson,12,551,48,68,116,-21,244,0,844,412,548,0,0,143,6847,2,11,13,36,369,0,1,1,2,271,6,4,2413,0,0,2,8,0,0,0,0
Sebastian Strange,11,550,217,278,495,87,240,20,889,991,2190,64,155,97,11875,31,83,114,318,1409,1,2,3,16,510,31,22,5476,1,3,20,60,1,1,0,583
Geronimo Otto,11,550,197,274,471,18,150,60,415,1407,1792,228,558,122,12515,37,69,106,279,1404,5,5,10,23,1286,25,16,14876,3,3,10,35,0,5,20,1424
Adam Falk,12,550,172,242,414,84,151,25,409,885,1830,0,0,131,11812,28,54,82,268,1111,4,5,9,36,1314,24,6,968,3,4,9,28,2,0,6,536
Max Mauldin,11,550,129,268,397,71,236,15,648,950,1462,320,813,165,11862.66667,20,64,84,152,1090.333333,0,3,3,19,1057.566667,25,4,13786,1,2,5,18,0,5,19,9
Logan Jensen,11,550,167,200,367,10,207,115,250,901,1806,493,1241,131,10089,29,53,82,270,1018,1,2,3,13,532,22,13,6396,1,6,6,15,5,1,1,28
Joshua Woodcroft,12,550,158,204,362,80,135,15,629,569,1603,438,1209,72,10703,27,59,86,269,1346,2,3,5,10,246,30,12,811,2,1,3,23,0,1,0,172
Vijanupatan Singh,11,550,134,215,349,67,104,10,350,840,1455,382,1016,91,9921,19,34,53,154,700,0,0,0,9,371,24,12,6415,2,3,2,3,1,1,0,374
Kevin LeBacon,12,550,106,231,337,92,549,165,1221,954,927,196,203,716,13476,33,56,89,325,1773,2,8,10,20,1723,16,5,19,3,0,5,19,9,3,1,244
Jareth Sto Helit,11,550,58,278,336,-3,659,105,1364,1041,602,44,61,671,13059,24,72,96,299,1482,1,7,8,12,1589,8,6,0,1,0,2,8,4,0,0,8
Spitfire,12,550,66,253,319,6,195,65,286,586,933,190,406,573,11324,23,63,86,348,1079,0,2,2,5,970,6,5,121,0,1,1,8,4,2,6,0
Jacob Renninger,11,550,120,181,301,-102,69,15,289,815,1418,145,349,124,11249,20,38,58,200,1001,3,3,6,27,1102,20,9,898,4,0,3,16,1,1,3,253
Nour Harrak,11,550,97,195,292,-5,183,45,320,579,1220,300,699,329,10042,18,34,52,167,669,1,1,2,7,604,15,10,444,0,1,18,53,1,8,22,8305
Isaac Kaiser,11,550,95,182,277,-125,381,115,1007,932,1082,94,238,116,9937,17,47,64,159,913,2,2,4,13,666,11,5,9666,1,0,6,20,6,2,5,4251
Isaac Cormier-Hale,11,550,47,226,273,0,534,140,765,571,621,117,268,718,12032,16,38,54,275,1180,0,1,1,6,1170,5,3,1,2,0,0,4,7,0,0,0
Yuriy Starkonov,11,550,102,169,271,-78,123,5,632,656,1288,265,574,87,9793,16,46,62,204,962,0,2,2,9,599,18,6,853,1,1,5,16,0,2,4,0
Cynthia Taylor,11,550,27,241,268,20,745,5,1728,697,300,0,0,836,13178,11,35,46,139,937,0,4,4,2,1163,4,1,0,2,0,3,4,0,8,15,11365
Dennis Seidenberg,12,550,49,211,260,-46,599,75,1348,855,513,28,31,678,12048,21,48,69,234,1228,2,2,4,6,1319,5,2,0,0,0,1,6,2,0,0,1370
Chippy Chiclets,11,550,75,184,259,11,208,10,397,505,732,180,369,579,9779,24,34,58,270,973,0,4,4,2,756,9,5,1,0,0,0,0,0,0,0,0
Audun Wissink,12,550,121,137,258,130,668,190,1223,658,938,149,317,126,9201,14,25,39,112,871,4,4,8,41,1235,15,9,610,1,3,2,5,11,0,0,0
Dane Rowe,11,550,86,162,248,-76,203,105,252,920,1031,0,0,99,9175,10,23,33,80,518,0,2,2,10,509,16,1,8718,3,0,1,10,3,11,21,5219
Wendell Luna,11,550,18,183,201,4,326,10,807,386,243,0,0,662,10805,3,29,32,108,795,0,3,3,3,843,3,1,0,0,0,0,0,0,0,0,0
Taro Eichelele,11,550,64,130,194,-34,67,5,276,420,952,117,264,77,6976,13,37,50,140,790,0,0,0,1,82,5,3,689,0,0,0,1,0,6,7,0
Jakub Trocheck,11,550,51,140,191,-41,277,35,483,403,573,89,154,648,9976,12,16,28,118,602,0,1,1,4,692,4,3,2,0,0,4,10,2,0,9,0
Mikkel Haugen,11,550,75,100,175,28,313,95,789,615,675,211,505,36,7502,6,17,23,57,404,2,0,2,11,424,7,4,8160,0,1,5,15,4,4,6,0
Tony Flow,11,550,87,88,175,-16,49,15,182,442,929,0,0,87,7966,12,13,25,86,494,0,2,2,8,413,11,11,703,1,0,2,7,0,1,,0
Dakota Reid,11,550,73,97,170,-101,662,150,1414,345,877,242,611,78,7940,7,18,25,82,349,0,0,0,0,23,7,6,736,1,0,0,3,8,2,2,841
Ryan Powell,12,550,32,118,150,11,405,115,414,725,411,96,113,484,10257,11,24,35,104,1167,0,3,3,7,1161,6,2,0,0,0,0,0,8,1,0,0
Rurik Razin,11,550,48,93,141,-85,286,50,911,353,648,96,212,61,7695,7,13,20,65,590,0,0,0,1,20,3,0,598,0,0,1,8,2,0,0,11
Chuck Goody Jr.,11,550,13,74,87,46,61,5,115,285,112,30,46,412,6324,0,0,0,0,16,1,1,2,2,382,4,0,1,0,0,0,0,0,0,0,0
Henrik Vikstrom,11,550,5,5,10,-27,0,0,4,19,47,0,1,8,1003,0,0,0,0,22,0,0,0,0,88,2,0,60,0,0,0,0,0,0,1,0
Frans Erichsen,11,550,2,1,3,-9,12,0,19,4,18,0,1,1,357,0,0,0,0,52,0,0,0,0,1,0,0,13,0,0,0,0,0,3,6,3
Barbie Tanner,11,550,0,0,0,1,0,0,0,1,1,1,1,1,95,0,0,0,0,18,0,0,0,0,44,0,0,8,0,0,0,0,0,4,11,7910
Teemu Nurmi,12,549,93,244,337,-27,572,140,885,1016,900,75,66,664,12914,44,67,111,442,1625,1,4,5,9,1234,15,5,58,1,1,0,0,1,3,11,7831
Noctis Caelum,12,549,77,256,333,-54,264,40,565,621,723,75,175,883,13141,45,52,97,317,1184,0,2,2,7,1117,10,7,0,2,0,0,0,2,0,0,0
Nucky Toohoots,12,549,49,110,159,-9,84,10,255,454,567,55,107,500,10355,13,16,29,166,916,0,2,2,4,624,8,2,1089,0,0,1,2,0,1,0,456
Viktor Vorkampfer,11,548,87,221,308,-28,448,80,1354,1038,1147,212,521,134,11048,12,54,66,157,1016,1,2,3,6,910,14,8,10069,1,0,6,22,3,0,0,4
Shoyu Kikkoman,12,548,68,212,280,-66,485,5,1073,625,866,205,459,784,12720,24,49,73,357,1227,1,4,5,10,1041,8,7,2,0,0,3,11,0,3,10,231
Danny Richter,12,548,30,55,85,-48,258,30,717,441,445,41,83,169,6154,3,4,7,57,282,0,0,0,2,357,3,6,212,0,1,0,0,3,0,4,1092
Pal Vikingstod,13,547,22,233,255,-61,721,155,1287,679,330,0,0,686,12055,13,42,55,173,964,0,2,2,3,1106,4,2,0,1,0,0,0,6,0,8,2360
Mikelis Grundmanis,12,547,21,80,101,-52,211,5,587,302,252,0,0,444,7539,3,5,8,41,270,1,2,3,3,553,0,0,38,0,0,0,0,0,0,0,896
Joey Langdon,12,547,17,55,72,-97,441,105,760,306,278,5,2,302,7868,1,3,4,31,220,0,0,0,1,464,0,1,117,2,0,2,2,7,0,0,0
Richard Metcalf Jr.,11,546,122,174,296,-21,255,110,527,399,1124,247,618,150,10525.81667,25,56,81,158,1043.9,0,1,1,8,437.7333333,25,3,824,2,1,0,1,7,0,0,66
Braden Carlzner,13,546,89,165,254,1,326,90,811,845,990,28,56,356,11060,30,24,54,259,1173,1,3,4,14,711,15,5,232,0,0,3,13,1,0,0,264
Mac Hooper,11,544,31,68,99,-35,40,10,161,577,506,19,37,31,5319,0,8,8,30,360,0,0,0,5,349,3,1,4914,1,0,1,3,1,0,,0
Charlie Chiclets,13,538,177,244,421,21,657,215,1058,960,1455,328,647,145,10156,36,57,93,198,1321,10,10,20,55,976,33,17,8650,1,4,4,14,12,0,0,16
Kiernan Cassidy,12,536,112,151,263,-43,492,160,370,310,1014,278,532,62,7304,25,40,65,153,1101,0,0,0,0,5,14,7,396,0,1,3,3,10,0,0,0
Josh Hockridge,13,536,105,153,258,9,343,115,493,350,990,306,545,119,7345,22,43,65,124,1146,2,1,3,4,73,16,5,422,0,2,2,9,2,0,0,0
Knute Knurtsson,11,536,88,157,245,6,196,35,458,448,1080,137,374,122,10359.25,7,18,25,40,455.4,3,0,3,8,883.55,11,4,8716,0,2,0,0,2,1,0,4
Theo Morgan,11,534,254,252,506,184,110,0,528,224,2023,162,394,107,10724.55,53,74,127,105,1172.616667,0,1,1,3,338.5666667,39,5,621,1,1,1,4,0,0,0,0
Tony Ford,11,534,78,184,262,16,224,0,770,163,1112,87,175,820,11560.9,28,47,75,123,1152.583333,1,1,2,0,370.75,11,3,0,0,0,0,0,1,8,14,0
Jules Watt,11,534,38,137,175,89,292,0,872,152,751,37,74,635,9796.1,1,1,2,1,36.4,2,2,4,1,613.1333333,3,0,1,0,0,0,0,1,0,0,0
Aaron Wilson,10,532,230,357,587,234,190,0,741,353,2212,235,610,81,11461.15,40,109,149,140,1454.383333,0,0,0,1,348.45,35,8,5699,1,4,0,0,0,4,5,432
Monkey D. Luffy,10,532,253,307,560,203,176,0,498,224,2108,196,468,150,11069.51667,63,92,155,90,1290.766667,2,0,2,3,307.7833333,49,2,463,0,1,0,1,0,10,16,0
Julio Tokolosh,10,532,219,280,499,183,159,0,541,246,1791,135,348,324,11008.66667,58,73,131,78,1240.483333,2,2,4,3,442.8666667,36,3,676,0,1,11,19,0,0,1,90
Olivier Cloutier,10,532,187,227,414,-71,134,0,222,296,1802,191,550,291,11273.83333,48,72,120,134,1309.533333,2,2,4,10,450.8,24,6,919,1,0,5,13,0,3,5,62
Corey Kennedy,10,532,111,278,389,182,240,0,765,207,1614,115,236,912,12556.95,39,81,120,143,1400.783333,2,4,6,7,840.75,11,2,1,0,1,0,0,1,1,2,0
Gunnar Soderberg,10,532,170,205,375,83,125,0,424,268,1522,175,425,342,10433.38333,22,24,46,85,782.1166667,1,1,2,7,290.7833333,23,5,492,0,1,0,1,0,1,2,15
Jonathan Kane,11,532,126,162,288,-68,369,15,1193,700,1252,0,0,77,10236,29,47,76,215,1331,3,2,5,21,753,13,10,778,2,1,9,34,1,3,5,945
David Vent,10,532,65,186,251,113,312,50,633,144,1139,35,48,613,10844.15,23,43,66,7,755.0833333,0,0,0,0,300.5666667,15,0,0,0,0,0,2,2,0,0,1
Jax Duggan,10,532,58,186,244,105,172,30,572,199,919,90,184,545,10494.96667,8,26,34,73,564.8,1,2,3,5,871.9833333,12,1,23,0,0,3,7,1,0,0,0
