Season,Franchise Name,Team Name,W,L,OTL,P,Playoffs?,WC Vs,WC W,WC L,R1 Vs,R1 W,R1 L,R2 Vs,R2 W,R2 L,CF Vs,CF W,CF L,Cup VS,CUP W,CUP L,PLF W,PLF L,Series Won,Series Lost,GM,Co-Gm,Cup Won,President Trophy,0,0,0,0,0,,
50,Tampa Bay Barracuda,Tampa Bay Barracuda,30,14,6,66,1,,,,TOR,4,2,,,,HAM,4,2,CGY,3,4,11,8,2,1,JSS,Jepox,,,0,1,1,0,1,,
50,Manhattan Rage,Manhattan Rage,26,20,4,56,1,TOR,2,4,,,,,,,,,,,,,2,4,0,1,JayWhy,Luketd,,,0,0,0,0,0,,
50,Edmonton Blizzard,Edmonton Blizzard,28,19,3,59,1,,,,NOLA,2,4,,,,,,,,,,2,4,0,1,Keygan,TommySalami,,,0,0,0,0,0,,
50,Los Angeles Panthers,Los Angeles Panthers,26,23,1,53,1,CGY,1,4,,,,,,,,,,,,,1,4,0,1,Wasty,JT3,,,0,0,0,0,0,,
50,Minnesota Monarchs,Minnesota Chiefs,15,29,6,36,0,,,,,,,,,,,,,,,,0,0,0,0,Shmurph,Leppish,,,0,0,0,0,0,,
50,New England Wolfpack,New England Wolfpack,24,22,4,52,0,,,,,,,,,,,,,,,,0,0,0,0,Ace,hotdog,,,0,0,0,0,0,,
50,Texas Renegades,Texas Renegades,13,29,8,34,0,,,,,,,,,,,,,,,,0,0,0,0,Dankoa,Jearim,,,0,0,0,0,0,,
50,Buffalo Stampede,Buffalo Stampede,26,16,8,60,1,,,,HAM,2,4,,,,,,,,,,2,4,0,1,WannabeFinn,Tomen,,,0,0,0,0,0,,
50,San Francisco Pride,San Francisco Pride,32,14,4,68,1,,,,CGY,0,4,,,,,,,,,,0,4,0,1,Grapehead,Tweedledunn,,1,0,0,0,0,0,,
50,Chicago Syndicate,Chicago Syndicate,24,23,3,51,0,,,,,,,,,,,,,,,,0,0,0,0,Velvera,O4L,,,0,0,0,0,0,,
50,New Orleans Specters,New Orleans Specters,28,21,1,57,1,,,,EDM,4,2,,,,CGY,0,4,,,,4,6,1,1,Jkortesi81,TheDangaZone,,,0,0,0,0,0,,
49,Baltimore Platoon,West Kendall Platoon,30,15,5,65,1,TBB,3,4,,,,,,,,,,,,,3,4,0,1,JR95,Glyc,,,0,1,1,0,0,,
49,Calgary Dragons,Calgary Dragons,34,13,3,71,1,,,,EDM,3,4,,,,,,,,,,3,4,0,1,Steelhead77,Cookies,,1,0,1,1,0,0,,
49,Hamilton Steelhawks,Hamilton Steelhawks,19,27,4,42,0,,,,,,,,,,,,,,,,0,0,0,0,ThatDamnMcJesus,Waters,,,0,0,0,0,0,,
49,Toronto North Stars,Toronto North Stars,21,27,2,44,0,,,,,,,,,,,,,,,,0,0,0,0,ml002,,,,0,0,0,0,0,,
49,Winnipeg Aurora,Winnipeg Jets,22,18,10,54,1,,,,NOLA,1,4,,,,,,,,,,1,4,0,1,FlappyGiraffe,Troy_McClure03,,,0,0,0,0,0,,
49,Tampa Bay Barracuda,Tampa Bay Barracuda,23,20,7,53,1,,,,WKP,4,3,,,,NEW,1,4,,,,5,7,1,1,JSS,Jepox,,,1,0,1,0,0,,
49,Manhattan Rage,Manhattan Rage,33,15,2,68,1,,,,BUF,4,1,,,,NEW,2,4,,,,6,5,1,1,JayWhy,Luketd,,,0,0,0,0,0,,
49,Edmonton Blizzard,Edmonton Blizzard,26,22,2,54,1,LAP,4,2,CGY,4,3,,,,NOLA,4,2,NEW,4,0,16,7,4,0,Keygan,TommySalami,1,,1,0,1,0,0,,
49,Los Angeles Panthers,Los Angeles Panthers,21,19,10,52,1,EDM,2,4,,,,,,,,,,,,,2,4,0,1,Wasty,JT3,,,0,0,0,0,0,,
49,Minnesota Monarchs,Minnesota Chiefs,23,24,3,49,0,,,,,,,,,,,,,,,,0,0,0,0,Shmurph,Leppish,,,0,0,0,0,0,,
49,New England Wolfpack,New England Wolfpack,34,14,2,70,1,,,,TBB,4,1,,,,MAN,4,2,EDM,0,4,8,7,2,1,Ace,hotdog,,,0,0,0,0,0,,
49,Texas Renegades,Texas Renegades,19,26,5,43,0,,,,,,,,,,,,,,,,0,0,0,0,Dankoa,Jearim,,,0,0,0,0,0,,
49,Buffalo Stampede,Buffalo Stampede,26,19,5,57,1,,,,MAN,1,4,,,,,,,,,,1,4,0,1,WannabeFinn,Tomen,,,0,0,0,0,0,,
49,San Francisco Pride,San Francisco Pride,20,26,4,44,0,,,,,,,,,,,,,,,,0,0,0,0,Grapehead,Tweedledunn,,,0,0,0,0,0,,
49,Chicago Syndicate,Chicago Syndicate,22,25,3,47,0,,,,,,,,,,,,,,,,0,0,0,0,Velvera,O4L,,,0,0,0,0,0,,
49,New Orleans Specters,New Orleans Specters,27,17,6,60,1,,,,WPG,4,1,,,,EDM,2,4,,,,6,5,1,1,Jkortesi81,TheDangaZone,,,0,0,0,0,0,,
48,Baltimore Platoon,West Kendall Platoon,30,17,3,63,1,,,,HAM,4,1,,,,BUF,1,4,,,,5,5,1,1,JR95,Glyc,,,0,0,0,0,0,,
48,Calgary Dragons,Calgary Dragons,24,19,7,55,1,EDM,4,1,NOLA,2,4,,,,,,,,,,6,5,1,1,Steelhead77,Cookies,,,0,0,0,0,0,,
48,Hamilton Steelhawks,Hamilton Steelhawks,27,18,5,59,1,,,,WKP,1,4,,,,,,,,,,1,4,0,1,ThatDamnMcJesus,Waters,,,0,0,0,0,0,,
48,Toronto North Stars,Toronto North Stars,25,17,8,58,1,BUF,0,4,,,,,,,,,,,,,0,4,0,1,Nobody,ml002,,,0,0,0,0,0,,
48,Winnipeg Aurora,Winnipeg Jets,29,19,2,60,1,,,,SFP,4,2,,,,NOLA,4,3,BUF,2,4,10,9,2,1,FlappyGiraffe,Troy_McClure03,,,1,0,1,0,0,,
48,Tampa Bay Barracuda,Tampa Bay Barracuda,28,12,10,66,1,,,,BUF,3,4,,,,,,,,,,3,4,0,1,JSS,Jepox,,1,0,1,1,0,0,,
48,Manhattan Rage,Manhattan Rage,17,28,5,39,0,,,,,,,,,,,,,,,,0,0,0,0,JayWhy,GeckoeyGecko,,,0,0,0,0,0,,
48,Edmonton Blizzard,Edmonton Blizzard,25,20,5,55,1.1,CGY,1,4,,,,,,,,,,,,,1,4,0,1,Keygan,TommySalami,,,0,0,0,0,0,,
48,Los Angeles Panthers,Los Angeles Panthers,20,29,1,41,0,,,,,,,,,,,,,,,,0,0,0,0,Wasty,JT3,,,0,0,0,0,0,,
48,Minnesota Monarchs,Minnesota Chiefs,20,24,6,46,0,,,,,,,,,,,,,,,,0,0,0,0,Shmurph,Leppish,,,0,0,0,0,0,,
48,New England Wolfpack,New England Wolfpack,26,22,2,54,0,,,,,,,,,,,,,,,,0,0,0,0,Ace,hotdog,,,0,0,0,0,0,,
48,Texas Renegades,Texas Renegades,23,22,5,51,0,,,,,,,,,,,,,,,,0,0,0,0,Dankoa,Jearim,,,0,0,0,0,0,,
48,Buffalo Stampede,Buffalo Stampede,27,19,4,58,1.1,TOR,4,0,TBB,4,3,,,,WKP,4,1,WPG,4,2,16,6,4,0,WannabeFinn,Tomen,1,,1,0,1,0,0,,
48,San Francisco Pride,San Francisco Pride,28,19,3,59,1,,,,WPG,2,4,,,,,,,,,,2,4,0,1,Grapehead,Tweedledunn,,,0,0,0,0,0,,
48,Chicago Syndicate,Chicago Syndicate,21,24,5,47,0,,,,,,,,,,,,,,,,0,0,0,0,Velvera,O4L,,,0,0,0,0,0,,
48,New Orleans Specters,New Orleans Specters,30,15,5,65,1,,,,CGY,4,2,,,,WPG,3,4,,,,7,6,1,1,Jkortesi81,TheDangaZone,,,0,1,1,0,0,,
47,Baltimore Platoon,West Kendall Platoon,36,12,2,74,1.1,,,,CHI,4,0,,,,BUF,4,3,CGY,4,0,12,3,3,0,JR95,Wongy,1,1,1,0,1,0,0,,
47,Calgary Dragons,Calgary Dragons,28,16,6,62,1,,,,EDM,4,2,,,,TEX,1,4,WKP,0,4,5,10,1,2,Steelhead77,Cookies,,,0,0,0,0,0,,
47,Hamilton Steelhawks,Hamilton Steelhawks,18,25,7,43,0,,,,,,,,,,,,,,,,0,0,0,0,ThatDamnMcJesus,Waters,,,0,0,0,0,0,,
47,Toronto North Stars,Toronto North Stars,28,20,2,58,1,,,,BUF,2,4,,,,,,,,,,2,4,0,1,Nobody,ml002,,,0,0,0,0,0,,
47,Winnipeg Aurora,Winnipeg Jets,22,25,3,47,0,,,,,,,,,,,,,,,,0,0,0,0,FlappyGiraffe,Troy_McClure03,,,0,0,0,0,0,,
47,Tampa Bay Barracuda,Tampa Bay Barracuda,16,29,5,37,0,,,,,,,,,,,,,,,,0,0,0,0,JSS,Jepox,,,0,0,0,0,0,,
47,Manhattan Rage,Manhattan Rage,25,23,2,52,1,,,,CHI,1,4,,,,,,,,,,1,4,0,1,JayWhy,GeckoeyGecko,,,0,0,0,0,0,,
47,Edmonton Blizzard,Edmonton Blizzard,33,16,1,67,1,,,,CGY,2,4,,,,,,,,,,2,4,0,1,Keygan,TommySalami,,,0,0,0,0,0,,
47,Los Angeles Panthers,Los Angeles Panthers,20,25,5,45,0,,,,,,,,,,,,,,,,0,0,0,0,Wasty,JT3,,,0,0,0,0,0,,
47,Minnesota Monarchs,Minnesota Chiefs,19,25,6,44,0,,,,,,,,,,,,,,,,0,0,0,0,Shmurph,Daco,,,0,0,0,0,0,,
47,New England Wolfpack,New England Wolfpack,19,20,11,49,0,,,,,,,,,,,,,,,,0,0,0,0,Ace,AndrewWarren13,,,0,0,0,0,0,,
47,Texas Renegades,Texas Renegades,26,23,1,53,1,SFP,4,1,NOLA,4,2,,,,CGY,1,4,,,,9,7,2,1,Dankoa,ligma,,,0,0,0,0,0,,
47,Buffalo Stampede,Buffalo Stampede,29,20,1,59,1,,,,TOR,4,2,,,,WKP,3,4,,,,7,6,1,1,WannabeFinn,Tomen,,,0,1,1,0,0,,
47,San Francisco Pride,San Francisco Pride,24,22,4,52,1,TEX,1,4,,,,,,,,,,,,,1,4,0,1,Grapehead,Tweedledunn,,,0,0,0,0,0,,
47,Chicago Syndicate,Chicago Syndicate,24,23,3,51,1,MAN,4,1,WKP,0,4,,,,,,,,,,4,5,1,1,Velvera,O4L,,,0,0,0,0,0,,
47,New Orleans Specters,New Orleans Specters,33,14,3,69,1,,,,TEX,2,4,,,,,,,,,,2,4,0,1,Jkortesi81,TheDangaZone,,,0,0,0,0,0,,
46,Baltimore Platoon,West Kendall Platoon,24,19,7,55,0,,,,,,,,,,,,,,,,0,0,0,0,JR95,Wongy,,,0,0,0,0,0,,
46,Calgary Dragons,Calgary Dragons,24,21,5,53,1,EDM,4,0,MIN,2,4,,,,,,,,,,6,4,1,1,Steelhead77,Cookies,,,0,0,0,0,0,,
46,Hamilton Steelhawks,Hamilton Steelhawks,27,17,6,60,1,TBB,4,3,BUF,1,4,,,,,,,,,,5,7,1,1,ThatDamnMcJesus,Waters,,,1,0,1,0,0,,
46,Toronto North Stars,Toronto North Stars,29,18,3,61,1,,,,MAN,3,4,,,,,,,,,,3,4,0,1,Nobody,ml002,,,0,1,1,0,0,,
46,Winnipeg Aurora,Winnipeg Jets,19,24,7,45,0,,,,,,,,,,,,,,,,0,0,0,0,FlappyGiraffe,Troy_McClure03,,,0,0,0,0,0,,
46,Tampa Bay Barracuda,Tampa Bay Barracuda,25,17,8,58,1,HAM,3,4,,,,,,,,,,,,,3,4,0,1,JSS,Jepox,,,0,1,1,0,0,,
46,Manhattan Rage,Manhattan Rage,29,18,3,61,1,,,,TOR,4,3,,,,BUF,1,4,,,,5,7,1,1,JayWhy,GeckoeyGecko,,,1,0,1,0,0,,
46,Edmonton Blizzard,Edmonton Blizzard,24,21,5,53,1,CGY,0,4,,,,,,,,,,,,,0,4,0,1,Karlssens,Keygan,,,0,0,0,0,0,,
46,Los Angeles Panthers,Los Angeles Panthers,25,20,5,55,1,,,,NOLA,3,4,,,,,,,,,,3,4,0,1,Wasty,vbottas17,,,0,1,1,0,0,,
46,Minnesota Monarchs,Minnesota Chiefs,28,19,3,59,1,,,,CGY,4,2,,,,NOLA,2,4,,,,6,6,1,1,Shmurph,Wuma,,,0,0,0,0,0,,
46,New England Wolfpack,New England Wolfpack,18,27,5,41,0,,,,,,,,,,,,,,,,0,0,0,0,Ace,R1c3bowl22,,,0,0,0,0,0,,
46,Texas Renegades,Texas Renegades,25,22,3,53,0,,,,,,,,,,,,,,,,0,0,0,0,Dankoa,ligma,,,0,0,0,0,0,,
46,Buffalo Stampede,Buffalo Stampede,28,14,8,64,1.1,,,,HAM,4,1,,,,MAN,4,1,NOLA,4,3,12,5,3,0,WannabeFinn,Tomen,1,1,1,0,1,1,0,,
46,San Francisco Pride,San Francisco Pride,24,22,4,52,0,,,,,,,,,,,,,,,,0,0,0,0,Grapehead,Tweedledunn,,,0,0,0,0,0,,
46,Chicago Syndicate,Chicago Syndicate,24,22,4,52,0,,,,,,,,,,,,,,,,0,0,0,0,Velvera,O4L,0,0,0,0,0,0,0,,
46,New Orleans Specters,New Orleans Specters,27,19,4,58,1,,,,LAP,4,3,,,,MIN,4,2,BUF,3,4,11,9,2,1,Jkortesi81,TheDangaZone,,,1,1,2,0,1,,
45,Baltimore Platoon,West Kendall Platoon,30,16,4,64,1,,,,TOR,4,1,,,,MIN,4,2,EDM,3,4,11,7,2,1,JR95,Wongy,,,0,1,1,0,1,,
45,Calgary Dragons,Calgary Dragons,22,26,2,46,0,,,,,,,,,,,,,,,,0,0,0,0,Steelhead77,Cookies,,,0,0,0,0,0,,
45,Hamilton Steelhawks,Hamilton Steelhawks,21,27,2,44,0,,,,,,,,,,,,,,,,0,0,0,0,ThatDamnMcJesus,Waters,,,0,0,0,0,0,,
45,Toronto North Stars,Toronto North Stars,24,22,4,52,1,,,,WKP,1,4,,,,,,,,,,1,4,0,1,Nobody,ml002,,,0,0,0,0,0,,
45,Winnipeg Aurora,Winnipeg Jets,23,19,8,54,1,,,,TEX,0,4,,,,,,,,,,0,4,0,1,FlappyGiraffe,Troy_McClure03,,,0,0,0,0,0,,
45,Tampa Bay Barracuda,Seattle Riot,20,28,2,42,0,,,,,,,,,,,,,,,,0,0,0,0,JSS,Toivo,,,0,0,0,0,0,,
45,Manhattan Rage,Manhattan Rage,22,24,4,48,0,,,,,,,,,,,,,,,,0,0,0,0,JayWhy,GeckoeyGecko,,,0,0,0,0,0,,
45,Edmonton Blizzard,Edmonton Blizzard,41,6,3,85,1.1,,,,LAP,4,0,,,,TEX,4,3,WKP,4,3,12,6,3,0,Karlssens,Keygan,1,1,2,0,2,1,0,,
45,Los Angeles Panthers,Los Angeles Panthers,24,20,6,54,1,,,,EDM,0,4,,,,,,,,,,0,4,0,1,Wasty,vbottas17,,,0,0,0,0,0,,
45,Minnesota Monarchs,Minnesota Chiefs,27,19,4,58,1,,,,NEW,4,1,,,,WKP,2,4,,,,6,5,1,1,Shmurph,Wuma,,,0,0,0,0,0,,
45,New England Wolfpack,New England Wolfpack,26,22,2,54,1,,,,MIN,1,4,,,,,,,,,,1,4,0,1,Ace,R1c3bowl22,,,0,0,0,0,0,,
45,Texas Renegades,Texas Renegades,32,15,3,67,1,,,,WPG,0,4,,,,,,,,,,0,4,0,1,Dankoa,ligma,,,0,0,0,0,0,,
45,Buffalo Stampede,Buffalo Stampede,20,26,4,44,0,,,,,,,,,,,,,,,,0,0,0,0,WannabeFinn,Tomen,,,0,0,0,0,0,,
45,San Francisco Pride,San Francisco Pride,18,30,2,38,0,,,,,,,,,,,,,,,,0,0,0,0,Grapehead,Tweedledunn,,,0,0,0,0,0,,
44,Baltimore Platoon,West Kendall Platoon,29,17,4,62,1,,,,HAM,4,1,,,,MIN,4,3,WPG,2,4,10,8,2,1,JR95,Wongy,,,1,0,1,0,0,,
44,Calgary Dragons,Calgary Dragons,28,18,4,60,1,,,,EDM,1,4,,,,,,,,,,1,4,0,1,Steelhead77,Cookies,,,0,0,0,0,0,,
44,Hamilton Steelhawks,Hamilton Steelhawks,25,19,6,56,1,,,,WKP,1,4,,,,,,,,,,1,4,0,1,DrunkenTeddy,Waters,,,0,0,0,0,0,,
44,Toronto North Stars,Toronto North Stars,33,15,2,68,1,,,,MIN,3,4,,,,,,,,,,3,4,0,1,Nobody,ml002,,,0,1,1,0,0,,
44,Winnipeg Aurora,Winnipeg Jets,29,15,6,64,1.1,,,,LAP,4,2,,,,EDM,4,2,WKP,4,2,12,6,3,0,FlappyGiraffe,,1,,0,0,0,0,0,,
44,Tampa Bay Barracuda,Seattle Riot,17,29,4,38,0,,,,,,,,,,,,,,,,0,0,0,0,StaticShocked,,,,0,0,0,0,0,,
44,Manhattan Rage,Manhattan Rage,18,26,6,42,0,,,,,,,,,,,,,,,,0,0,0,0,JayWhy,GeckoeyGecko,,,0,0,0,0,0,,
44,Edmonton Blizzard,Edmonton Blizzard,35,11,4,74,1,,,,CGY,4,1,,,,WPG,2,4,,,,6,5,1,1,Karlssens,Keygan,,1,0,0,0,0,0,,
44,Los Angeles Panthers,Los Angeles Panthers,30,16,4,64,1,,,,WPG,2,4,,,,,,,,,,2,4,0,1,Wasty,vbottas17,,,0,0,0,0,0,,
44,Minnesota Monarchs,Minnesota Chiefs,26,21,3,55,1,,,,TOR,4,3,,,,WKP,3,4,,,,7,7,1,1,Baelor Swift,Shmurph,,,1,1,2,0,0,,
44,New England Wolfpack,New England Wolfpack,20,25,5,45,0,,,,,,,,,,,,,,,,0,0,0,0,Ace,jcfbey01,,,0,0,0,0,0,,
44,Texas Renegades,Texas Renegades,28,21,1,57,0,,,,,,,,,,,,,,,,0,0,0,0,Dankoa,ligma,,,0,0,0,0,0,,
44,Buffalo Stampede,Buffalo Stampede,19,26,5,43,0,,,,,,,,,,,,,,,,0,0,0,0,WannabeFinn,Tomen,,,0,0,0,0,0,,
44,San Francisco Pride,San Francisco Pride,13,30,7,33,0,,,,,,,,,,,,,,,,0,0,0,0,Grapehead,Tweedledunn,,,0,0,0,0,0,,
43,Baltimore Platoon,West Kendall Platoon,23,24,3,49,1.1,,,,HAM,4,2,,,,BUF,4,1,WPG,4,0,12,3,3,0,JR95,Wongy,1,,0,0,0,0,0,,
43,Calgary Dragons,Calgary Dragons,27,21,2,56,1,,,,WPG,2,4,,,,,,,,,,2,4,0,1,Steelhead77,Cookies,,,0,0,0,0,0,,
43,Hamilton Steelhawks,Hamilton Steelhawks,30,18,2,62,1,,,,WKP,2,4,,,,,,,,,,2,4,0,1,DrunkenTeddy,Waters,,,0,0,0,0,0,,
43,Toronto North Stars,Toronto North Stars,20,23,7,47,0,,,,,,,,,,,,,,,,0,0,0,0,Nobody,,,,0,0,0,0,0,,
43,Winnipeg Aurora,Winnipeg Jets,34,14,2,70,1,,,,CGY,4,2,,,,LAP,4,3,WKP,0,4,8,9,2,1,FlappyGiraffe,,,1,1,0,1,0,0,,
43,Tampa Bay Barracuda,Seattle Riot,28,18,4,60,1,,,,LAP,2,4,,,,,,,,,,2,4,0,1,Samee,StaticShocked,,,0,0,0,0,0,,
43,Manhattan Rage,Manhattan Rage,20,25,5,45,0,,,,,,,,,,,,,,,,0,0,0,0,JayWhy,GeckoeyGecko,,,0,0,0,0,0,,
43,Edmonton Blizzard,Edmonton Blizzard,23,23,4,50,0,,,,,,,,,,,,,,,,0,0,0,0,Karlssens,Ace,,,0,0,0,0,0,,
43,Los Angeles Panthers,Los Angeles Panthers,28,20,2,58,1,,,,SEA,4,2,,,,WPG,3,4,,,,7,6,1,1,Wasty,vbottas17,,,0,1,1,0,0,,
43,Minnesota Monarchs,Minnesota Chiefs,28,21,1,57,1,,,,BUF,0,4,,,,,,,,,,0,4,0,1,Baelor Swift,Shmurph,,,0,0,0,0,0,,
43,New England Wolfpack,New England Wolfpack,21,25,4,46,0,,,,,,,,,,,,,,,,0,0,0,0,Toivo,Storm,,,0,0,0,0,0,,
43,Texas Renegades,Texas Renegades,25,22,3,53,0,,,,,,,,,,,,,,,,0,0,0,0,Dankoa,JumpierPegasus,,,0,0,0,0,0,,
43,Buffalo Stampede,Buffalo Stampede,26,19,5,57,1,,,,MIN,4,0,,,,WKP,1,4,,,,5,4,1,1,WannabeFinn,Tomen,,,0,0,0,0,0,,
43,San Francisco Pride,San Francisco Pride,17,24,9,43,0,,,,,,,,,,,,,,,,0,0,0,0,Grapehead,Tweedledunn,,,0,0,0,0,0,,
42,Baltimore Platoon,West Kendall Platoon,26,17,7,59,1,,,,NEW,3,4,,,,,,,,,,3,4,0,1,JR95,Wongy,,,0,1,1,0,0,,
42,Calgary Dragons,Calgary Dragons,29,15,6,64,1.1,,,,TEX,4,1,,,,EDM,1,4,NEW,4,2,9,7,2,1,Steelhead77,Cookies,1,,0,0,0,0,0,,
42,Hamilton Steelhawks,Hamilton Steelhawks,30,13,7,67,1,,,,BUF,4,1,,,,NEW,1,4,,,,5,5,1,1,DrunkenTeddy,Sleepy,,1,0,0,0,0,0,,
42,Toronto North Stars,Toronto North Stars,23,23,4,50,0,,,,,,,,,,,,,,,,0,0,0,0,Symmetrik,Nobody,,,0,0,0,0,0,,
42,Winnipeg Aurora,Winnipeg Jets,25,21,4,54,0,,,,,,,,,,,,,,,,0,0,0,0,MWHazard,LB,,,0,0,0,0,0,,
42,Tampa Bay Barracuda,Seattle Riot,22,23,5,49,0,,,,,,,,,,,,,,,,0,0,0,0,Samee,StaticShocked,,,0,0,0,0,0,,
42,Manhattan Rage,Manhattan Rage,13,32,5,31,0,,,,,,,,,,,,,,,,0,0,0,0,JayWhy,GeckoeyGecko,,,0,0,0,0,0,,
42,Edmonton Blizzard,Edmonton Blizzard,30,15,5,65,1,,,,LAP,4,2,,,,CGY,1,4,,,,5,6,1,1,Karlssens,Ace,,,0,0,0,0,0,,
42,Los Angeles Panthers,Los Angeles Panthers,28,22,0,56,1,,,,EDM,2,4,,,,,,,,,,2,4,0,1,Wasty,vbottas17,,,0,0,0,0,0,,
42,Minnesota Monarchs,Minnesota Chiefs,24,23,3,51,0,,,,,,,,,,,,,,,,0,0,0,0,Baelor Swift,Shmurph,,,0,0,0,0,0,,
42,New England Wolfpack,New England Wolfpack,26,17,7,59,1,,,,WKP,4,3,,,,HAM,4,1,CGY,2,4,10,8,2,1,Toivo,Storm,,,1,0,1,0,0,,
42,Texas Renegades,Texas Renegades,27,19,4,58,1,,,,CGY,1,4,,,,,,,,,,1,4,0,1,Dankoa,JumpierPegasus,,,0,0,0,0,0,,
42,Buffalo Stampede,Buffalo Stampede,27,20,3,57,1,,,,HAM,1,4,,,,,,,,,,1,4,0,1,WannabeFinn,Tomen,,,0,0,0,0,0,,
42,San Francisco Pride,San Francisco Pride,20,26,4,44,0,,,,,,,,,,,,,,,,0,0,0,0,Grapehead,Tweedledunn,,,0,0,0,0,0,,
41,Baltimore Platoon,West Kendall Platoon,26,18,6,58,1.1,,,,BUF,4,3,,,,HAM,4,2,LAP,4,3,12,8,3,0,JR95,Wongy,1,,2,0,2,1,0,,
41,Calgary Dragons,Calgary Dragons,31,13,6,68,1,,,,WPG,2,4,,,,,,,,,,2,4,0,1,Steelhead77,Cookies,,,0,0,0,0,0,,
41,Hamilton Steelhawks,Hamilton Steelhawks,25,19,6,56,1,,,,MIN,4,2,,,,WKP,2,4,,,,6,6,1,1,ThatDamnMcJesus,Gooney,,,0,0,0,0,0,,
41,Toronto North Stars,Toronto North Stars,21,24,5,47,0,,,,,,,,,,,,,,,,0,0,0,0,Symmetrik,Nobody,,,0,0,0,0,0,,
41,Winnipeg Aurora,Winnipeg Jets,36,9,5,77,1,,,,CGY,4,2,,,,LAP,3,4,,,,7,6,1,1,MWHazard,LB,,1,0,1,1,0,0,,
41,Tampa Bay Barracuda,Seattle Riot,19,26,5,43,0,,,,,,,,,,,,,,,,0,0,0,0,Samee,StaticShocked,,,0,0,0,0,0,,
41,Manhattan Rage,Manhattan Rage,22,24,4,48,0,,,,,,,,,,,,,,,,0,0,0,0,JayWhy,,,,0,0,0,0,0,,
41,Edmonton Blizzard,Edmonton Blizzard,32,13,5,69,1,,,,LAP,3,4,,,,,,,,,,3,4,0,1,Karlssens,Ace,,,0,1,1,0,0,,
41,Los Angeles Panthers,Los Angeles Panthers,33,13,4,70,1,,,,EDM,4,3,,,,WPG,4,3,WKP,3,4,11,10,2,1,Wasty,vbottas17,,,2,1,3,0,1,,
41,Minnesota Monarchs,Minnesota Chiefs,27,17,6,60,1,,,,HAM,2,4,,,,,,,,,,2,4,0,1,Baelor Swift,Andybj,,,0,0,0,0,0,,
41,New England Wolfpack,New England Wolfpack,24,21,5,53,0,,,,,,,,,,,,,,,,0,0,0,0,Toivo,Storm,,,0,0,0,0,0,,
41,Texas Renegades,Texas Renegades,16,30,4,36,0,,,,,,,,,,,,,,,,0,0,0,0,Dankoa,JumpierPegasus,,,0,0,0,0,0,,
41,Buffalo Stampede,Buffalo Stampede,26,17,7,59,1,,,,WKP,3,4,,,,,,,,,,3,4,0,1,WannabeFinn,FourFour,,,0,1,1,0,0,,
41,San Francisco Pride,San Francisco Pride,14,31,5,33,0,,,,,,,,,,,,,,,,0,0,0,0,Grapehead,Tweedledunn,,,0,0,0,0,0,,
40,Baltimore Platoon,West Kendall Platoon,31,16,3,65,1,,,,MIN,2,4,,,,,,,,,,2,4,0,1,JR95,Wongy,,,0,0,0,0,0,,
40,Calgary Dragons,Calgary Dragons,31,13,6,68,1.1,,,,TEX,4,1,,,,WPG,3,4,MIN,4,3,11,8,2,1,Steelhead77,Cookies,1,,1,1,2,1,0,,
40,Hamilton Steelhawks,Hamilton Steelhawks,28,13,9,65,1,,,,NEW,4,1,,,,MIN,3,4,,,,7,5,1,1,ThatDamnMcJesus,Gooney,,,0,1,1,0,0,,
40,Toronto North Stars,Toronto North Stars,21,23,6,48,0,,,,,,,,,,,,,,,,0,0,0,0,Symmetrik,,,,0,0,0,0,0,,
40,Winnipeg Aurora,Winnipeg Jets,32,11,7,71,1,,,,EDM,4,3,,,,CGY,3,4,,,,7,7,1,1,Nereus,MWHazard,,1,1,1,2,0,0,,
40,Tampa Bay Barracuda,Seattle Riot,9,37,4,22,0,,,,,,,,,,,,,,,,0,0,0,0,Samee,StaticShocked,,,0,0,0,0,0,,
40,Manhattan Rage,Manhattan Rage,24,20,6,54,0,,,,,,,,,,,,,,,,0,0,0,0,JayWhy,,,,0,0,0,0,0,,
40,Edmonton Blizzard,Edmonton Blizzard,27,15,8,62,1,,,,WPG,3,4,,,,,,,,,,3,4,0,1,Karlssens,Ace,,,0,1,1,0,0,,
40,Los Angeles Panthers,Los Angeles Panthers,25,18,7,57,0,,,,,,,,,,,,,,,,0,0,0,0,Wasty,vbottas17,,,0,0,0,0,0,,
40,Minnesota Monarchs,Minnesota Chiefs,24,16,10,58,1,,,,WKP,4,2,,,,HAM,4,3,CGY,3,4,11,9,2,1,Baelor Swift,Andybj,,,1,1,2,0,1,,
40,New England Wolfpack,New England Wolfpack,27,17,6,60,1,,,,HAM,1,4,,,,,,,,,,1,4,0,1,Eggy216,Toivo,,,0,0,0,0,0,,
40,Texas Renegades,Texas Renegades,32,12,6,70,1,,,,CGY,1,4,,,,,,,,,,1,4,0,1,Dankoa,JumpierPegasus,,,0,0,0,0,0,,
40,Buffalo Stampede,Buffalo Stampede,18,30,2,38,0,,,,,,,,,,,,,,,,0,0,0,0,WannabeFinn,,,,0,0,0,0,0,,
40,San Francisco Pride,San Francisco Pride,21,23,6,48,0,,,,,,,,,,,,,,,,0,0,0,0,Grapehead,,,,0,0,0,0,0,,
39,Baltimore Platoon,West Kendall Platoon,24,19,7,55,1,,,,MIN,0,4,,,,,,,,,,0,4,0,1,Bojo,JR95,,,0,0,0,0,0,,
